Name	ORF	Link	Annotation	Growth Rate Slope	Bootstrapped p-value of slope	R^2	Growth Rate Response @1.5SD	ESR	Calibration gene?	Bootstrapped p-value of R^2	p-value of R^2	Growth Rate Baseline	Variability	Bootstrapped p-value of variability	Unresponsive?
ERR2	YPL281C	YPL281C	biological process unknown || phosphopyruvate hydratase activity || YPL281C || 1081042	-7.60	2.00E-05	0.68	down			0.00E+00	7.79E-10	1.95	0.61	9.67E-01	
YLR031W	YLR031W	YLR031W	biological process unknown || molecular function unknown || YLR031W || 1086509	-7.59	2.00E-05	0.56	down			0.00E+00	1.41E-07	2.62	0.75	9.98E-01	
GAD1	YMR250W	YMR250W	response to oxidative stress* || glutamate decarboxylase activity || YMR250W || 1083281	-7.59	2.00E-05	0.46	down	up		0.00E+00	5.69E-06	2.32	0.81	9.99E-01	
YNR034W-A	YNR034W-A	YNR034W-A	biological process unknown || molecular function unknown || YNR034W-A || 1080687	-7.58	2.00E-05	0.43	down			2.00E-05	1.29E-05	1.77	0.75	9.98E-01	
YDR133C	YDR133C	YDR133C	|| || YDR133C || 1083528	-7.55	2.00E-05	0.67	down			0.00E+00	1.29E-09	1.16	0.62	9.73E-01	
UBI4	YLL039C	YLL039C	response to stress* || protein tag* || YLL039C || 1083026	-7.53	2.00E-05	0.73	down	up		0.00E+00	2.87E-11	2.39	0.60	9.56E-01	
YEL077C	YEL077C	YEL077C	biological process unknown || helicase activity || YEL077C || 1082656	-7.52	2.00E-05	0.57	down			0.00E+00	8.59E-08	1.86	0.64	9.80E-01	
YIL024C	YIL024C	YIL024C	biological process unknown || molecular function unknown || YIL024C || 1080971	-7.52	2.00E-05	0.68	down			0.00E+00	7.02E-10	1.62	0.66	9.88E-01	
YDR018C	YDR018C	YDR018C	phospholipid biosynthesis || acyltransferase activity || YDR018C || 1082903	-7.49	2.00E-05	0.62	down			0.00E+00	1.48E-08	1.24	0.71	9.95E-01	
YLR194C	YLR194C	YLR194C	biological process unknown || molecular function unknown || YLR194C || 1086758	-7.48	2.00E-05	0.24	down			3.17E-03	2.15E-03	1.81	1.01	1.00E+00	
ATG8	YBL078C	YBL078C	protein-vacuolar targeting* || microtubule binding || YBL078C || 1085946	-7.39	2.00E-05	0.57	down	up		0.00E+00	1.23E-07	2.38	0.69	9.93E-01	
YFR017C	YFR017C	YFR017C	biological process unknown || molecular function unknown || YFR017C || 1084693	-7.35	2.00E-05	0.40	down			6.00E-05	3.58E-05	1.09	0.86	1.00E+00	
SDH4	YDR178W	YDR178W	tricarboxylic acid cycle* || succinate dehydrogenase (ubiquinone) activity || YDR178W || 1082220	-7.34	2.00E-05	0.33	down			3.60E-04	2.52E-04	0.47	0.89	1.00E+00	
TSL1	YML100W	YML100W	response to stress* || enzyme regulator activity* || YML100W || 1082559	-7.33	2.00E-05	0.49	down	up		0.00E+00	2.23E-06	1.96	0.73	9.97E-01	
GCY1	YOR120W	YOR120W	response to salt stress* || aldo-keto reductase activity || YOR120W || 1081721	-7.32	2.00E-05	0.58	down			0.00E+00	6.69E-08	1.73	0.69	9.94E-01	
ERR1	YOR393W	YOR393W	biological process unknown || phosphopyruvate hydratase activity || YOR393W || 1086689	-7.29	2.00E-05	0.64	down			0.00E+00	4.05E-09	1.92	0.60	9.58E-01	
ETR1	YBR026C	YBR026C	aerobic respiration* || enoyl-[acyl-carrier protein] reductase activity || YBR026C || 1085485	-7.27	2.00E-05	0.65	down	up		0.00E+00	3.56E-09	1.90	0.61	9.66E-01	
YHR214W-A	YHR214W-A	YHR214W-A	|| || YHR214W-A || 1081986	-7.25	2.00E-05	0.23	down			4.25E-03	2.88E-03	1.77	1.16	1.00E+00	
HXT6	YDR343C	YDR343C	hexose transport || glucose transporter activity* || YDR343C || 1082540	-7.22	3.00E-05	0.16	down			2.23E-02	1.50E-02	-1.42	1.26	1.00E+00	
PRX1	YBL064C	YBL064C	regulation of cell redox homeostasis || thioredoxin peroxidase activity || YBL064C || 1082395	-7.19	3.00E-05	0.69	down	up		0.00E+00	3.72E-10	1.49	0.62	9.74E-01	
ZTA1	YBR046C	YBR046C	biological process unknown || molecular function unknown || YBR046C || 1084664	-7.19	3.00E-05	0.38	down			1.00E-04	5.72E-05	1.35	0.75	9.98E-01	
YER121W	YER121W	YER121W	|| || YER121W || 1083604	-7.18	3.00E-05	0.46	down			0.00E+00	5.18E-06	1.85	0.73	9.97E-01	
YAR068W	YAR068W	YAR068W	biological process unknown || molecular function unknown || YAR068W || 1083799	-7.14	3.00E-05	0.24	down			4.08E-03	2.73E-03	1.70	1.14	1.00E+00	
TRX3	YCR083W	YCR083W	response to oxidative stress || thiol-disulfide exchange intermediate activity || YCR083W || 1082306	-7.12	3.00E-05	0.69	down			0.00E+00	2.98E-10	1.87	0.62	9.70E-01	
QCR6	YFR033C	YFR033C	aerobic respiration* || ubiquinol-cytochrome-c reductase activity || YFR033C || 1083147	-7.06	3.00E-05	0.61	down			0.00E+00	2.00E-08	0.89	0.65	9.84E-01	
YBR047W	YBR047W	YBR047W	biological process unknown || molecular function unknown || YBR047W || 1082427	-7.03	3.00E-05	0.28	down			1.32E-03	9.66E-04	1.09	0.90	1.00E+00	
PRB1	YEL060C	YEL060C	sporulation* || serine-type endopeptidase activity || YEL060C || 1082757	-7.03	3.00E-05	0.42	down	up		3.00E-05	1.71E-05	2.07	0.70	9.95E-01	
CYC7	YEL039C	YEL039C	electron transport || electron carrier activity || YEL039C || 1085397	-7.00	3.00E-05	0.37	down	up		1.40E-04	8.50E-05	2.06	0.81	1.00E+00	
GAC1	YOR178C	YOR178C	meiosis* || protein phosphatase type 1 activity* || YOR178C || 1083947	-6.99	3.00E-05	0.36	down			1.40E-04	9.69E-05	0.70	0.82	1.00E+00	
SUE1	YPR151C	YPR151C	protein catabolism || molecular function unknown || YPR151C || 1081013	-6.96	3.00E-05	0.59	down	up		0.00E+00	3.79E-08	1.36	0.61	9.65E-01	
GDH3	YAL062W	YAL062W	glutamate biosynthesis || glutamate dehydrogenase activity || YAL062W || 1086595	-6.89	3.00E-05	0.35	down			2.30E-04	1.33E-04	1.53	0.77	9.99E-01	
YLR297W	YLR297W	YLR297W	biological process unknown || molecular function unknown || YLR297W || 1081444	-6.88	3.00E-05	0.73	down			0.00E+00	4.11E-11	1.99	0.59	9.54E-01	
NRG1	YDR043C	YDR043C	regulation of transcription from RNA polymerase II promoter* || DNA binding* || YDR043C || 1086826	-6.86	3.00E-05	0.81	down			0.00E+00	5.54E-14	2.13	0.53	8.73E-01	
PIB1	YDR313C	YDR313C	protein ubiquitination || ubiquitin-protein ligase activity || YDR313C || 1084186	-6.86	3.00E-05	0.55	down			0.00E+00	2.51E-07	1.74	0.58	9.39E-01	
ALD4	YOR374W	YOR374W	ethanol metabolism || aldehyde dehydrogenase (NAD) activity || YOR374W || 1086104	-6.85	3.00E-05	0.12	down	up		5.28E-02	3.71E-02	0.56	1.25	1.00E+00	
YPR015C	YPR015C	YPR015C	biological process unknown || molecular function unknown || YPR015C || 1086002	-6.82	4.00E-05	0.59	down			0.00E+00	4.10E-08	1.89	0.58	9.42E-01	
YPL222W	YPL222W	YPL222W	biological process unknown || molecular function unknown || YPL222W || 1086237	-6.78	5.00E-05	0.39	down			1.00E-04	4.41E-05	1.89	0.72	9.96E-01	
PIG2	YIL045W	YIL045W	biological process unknown || protein phosphatase regulator activity || YIL045W || 1082005	-6.78	5.00E-05	0.55	down	up		0.00E+00	2.06E-07	2.11	0.64	9.81E-01	
CAT8	YMR280C	YMR280C	positive regulation of transcription from RNA polymerase II promoter* || specific RNA polymerase II transcription factor activity || YMR280C || 1080682	-6.72	7.00E-05	0.34	down			3.10E-04	1.89E-04	0.82	0.82	1.00E+00	
YKL071W	YKL071W	YKL071W	biological process unknown || molecular function unknown || YKL071W || 1080860	-6.70	7.00E-05	0.60	down			0.00E+00	2.92E-08	1.93	0.62	9.73E-01	
SSA1	YAL005C	YAL005C	protein folding* || ATPase activity* || YAL005C || 1083834	-6.69	7.00E-05	0.46	down			0.00E+00	5.34E-06	1.30	0.65	9.85E-01	
ERR3	YMR323W	YMR323W	biological process unknown || phosphopyruvate hydratase activity || YMR323W || 1083995	-6.66	7.00E-05	0.61	down			0.00E+00	2.18E-08	1.47	0.58	9.41E-01	
GPM2	YDL021W	YDL021W	biological process unknown || molecular function unknown* || YDL021W || 1083790	-6.66	7.00E-05	0.27	down	up		1.54E-03	1.11E-03	2.29	0.84	1.00E+00	
GLC3	YEL011W	YEL011W	"glycogen metabolism || 1,4-alpha-glucan branching enzyme activity || YEL011W || 1082390"	-6.65	7.00E-05	0.59	down	up		0.00E+00	4.73E-08	1.88	0.62	9.69E-01	
YNL200C	YNL200C	YNL200C	biological process unknown || molecular function unknown || YNL200C || 1081646	-6.63	7.00E-05	0.69	down	up		0.00E+00	4.38E-10	1.62	0.56	9.11E-01	
CIN5	YOR028C	YOR028C	regulation of transcription from RNA polymerase II promoter* || DNA binding* || YOR028C || 1084912	-6.62	7.00E-05	0.45	down			0.00E+00	8.06E-06	1.93	0.66	9.88E-01	
PIC2	YER053C	YER053C	phosphate transport || inorganic phosphate transporter activity || YER053C || 1085421	-6.62	7.00E-05	0.66	down	up		0.00E+00	1.53E-09	1.61	0.57	9.32E-01	
PGM2	YMR105C	YMR105C	glucose 1-phosphate utilization* || phosphoglucomutase activity || YMR105C || 1081915	-6.59	7.00E-05	0.45	down	up		0.00E+00	8.43E-06	1.75	0.71	9.95E-01	
YBL113C	YBL113C	YBL113C	biological process unknown || helicase activity || YBL113C || 1081765	-6.58	7.00E-05	0.58	down			0.00E+00	8.33E-08	1.62	0.56	9.17E-01	
YKL162C-A	YKL162C-A	YKL162C-A	|| || YKL162C-A || 1084623	-6.56	7.00E-05	0.37	down			1.40E-04	8.30E-05	2.16	0.74	9.98E-01	
YMR114C	YMR114C	YMR114C	biological process unknown || molecular function unknown || YMR114C || 1082978	-6.56	7.00E-05	0.45	down			0.00E+00	8.36E-06	2.18	0.67	9.90E-01	
