Entry	Status	Protein names	Organism	Length	Gene names  (ordered locus )	Gene names  (primary )	Cross-reference (KEGG)	Gene ontology (GO)	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)
Q6BP70	reviewed	Structure-specific endonuclease subunit SLX4	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	788	DEHA2E16038g	SLX4	dha:DEHA2E16038g;	Slx1-Slx4 complex [GO:0033557]; 5'-flap endonuclease activity [GO:0017108]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]	Slx1-Slx4 complex [GO:0033557]	5'-flap endonuclease activity [GO:0017108]
Q6BM25	reviewed	Serine/threonine-protein kinase SSN3 (EC 2.7.11.22) (EC 2.7.11.23) (Cyclin-dependent kinase 8)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	472	DEHA2F08844g	SSN3	dha:DEHA2F08844g;	mediator complex [GO:0016592]; ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]; negative regulation of filamentous growth [GO:0060258]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; phosphorylation of RNA polymerase II C-terminal domain [GO:0070816]; positive regulation of transcription from RNA polymerase II promoter by galactose [GO:0000435]; protein destabilization [GO:0031648]; response to oxidative stress [GO:0006979]	negative regulation of filamentous growth [GO:0060258]; negative regulation of transcription by RNA polymerase II [GO:0000122]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; phosphorylation of RNA polymerase II C-terminal domain [GO:0070816]; positive regulation of transcription from RNA polymerase II promoter by galactose [GO:0000435]; protein destabilization [GO:0031648]; response to oxidative stress [GO:0006979]	mediator complex [GO:0016592]	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]
Q6BZ44	reviewed	DNA replication complex GINS protein PSF2	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	206	DEHA2A04686g	PSF2	dha:DEHA2A04686g;	chromatin [GO:0000785]; CMG complex [GO:0071162]; GINS complex [GO:0000811]; replication fork protection complex [GO:0031298]; chromosome segregation [GO:0007059]; double-strand break repair via break-induced replication [GO:0000727]; mitotic DNA replication [GO:1902969]	chromosome segregation [GO:0007059]; double-strand break repair via break-induced replication [GO:0000727]; mitotic DNA replication [GO:1902969]	chromatin [GO:0000785]; CMG complex [GO:0071162]; GINS complex [GO:0000811]; replication fork protection complex [GO:0031298]	
Q6BTA4	reviewed	60S ribosomal protein L7	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	241	DEHA2D02266g	RPL7	dha:DEHA2D02266g;	cytosolic large ribosomal subunit [GO:0022625]; structural constituent of ribosome [GO:0003735]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]	cytosolic large ribosomal subunit [GO:0022625]	structural constituent of ribosome [GO:0003735]
Q6BXI1	reviewed	COPII coat assembly protein SEC16 (Protein transport protein SEC16)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	2130	DEHA2B02838g	SEC16	dha:DEHA2B02838g;	endoplasmic reticulum membrane [GO:0005789]; autophagy [GO:0006914]; COPII vesicle coating [GO:0048208]; protein transport [GO:0015031]	autophagy [GO:0006914]; COPII vesicle coating [GO:0048208]; protein transport [GO:0015031]	endoplasmic reticulum membrane [GO:0005789]	
Q6BIY6	reviewed	Succinate dehydrogenase assembly factor 3, mitochondrial (SDH assembly factor 3) (SDHAF3)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	121	DEHA2G06622g		dha:DEHA2G06622g;	mitochondrial matrix [GO:0005759]; gluconeogenesis [GO:0006094]; mitochondrial respiratory chain complex II assembly [GO:0034553]	gluconeogenesis [GO:0006094]; mitochondrial respiratory chain complex II assembly [GO:0034553]	mitochondrial matrix [GO:0005759]	
Q6BI99	reviewed	Translocation protein SEC62	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	278	DEHA2G12386g	SEC62	dha:DEHA2G12386g;	integral component of endoplasmic reticulum membrane [GO:0030176]; Sec62/Sec63 complex [GO:0031207]; protein transmembrane transporter activity [GO:0008320]; posttranslational protein targeting to membrane, translocation [GO:0031204]	posttranslational protein targeting to membrane, translocation [GO:0031204]	integral component of endoplasmic reticulum membrane [GO:0030176]; Sec62/Sec63 complex [GO:0031207]	protein transmembrane transporter activity [GO:0008320]
Q6BLQ3	reviewed	13 kDa ribonucleoprotein-associated protein	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	126	DEHA2F11616g	SNU13	dha:DEHA2F11616g;	box C/D RNP complex [GO:0031428]; nucleolus [GO:0005730]; small-subunit processome [GO:0032040]; spliceosomal complex [GO:0005681]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U3 snoRNA binding [GO:0034511]; U4 snRNA binding [GO:0030621]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of RNA binding [GO:1905216]	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of RNA binding [GO:1905216]	box C/D RNP complex [GO:0031428]; nucleolus [GO:0005730]; small-subunit processome [GO:0032040]; spliceosomal complex [GO:0005681]; U4/U6 x U5 tri-snRNP complex [GO:0046540]	U3 snoRNA binding [GO:0034511]; U4 snRNA binding [GO:0030621]
Q6BHU0	reviewed	DASH complex subunit SPC19 (Outer kinetochore protein SPC19)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	177	DEHA2G15840g	SPC19	dha:DEHA2G15840g;	cytoplasm [GO:0005737]; DASH complex [GO:0042729]; spindle microtubule [GO:0005876]; attachment of spindle microtubules to kinetochore [GO:0008608]; cell division [GO:0051301]	attachment of spindle microtubules to kinetochore [GO:0008608]; cell division [GO:0051301]	cytoplasm [GO:0005737]; DASH complex [GO:0042729]; spindle microtubule [GO:0005876]	
Q6BUG5	reviewed	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	429	DEHA2C10846g		dha:DEHA2C10846g;	cytoplasm [GO:0005737]; adenylosuccinate synthase activity [GO:0004019]; AMP binding [GO:0016208]; GMP binding [GO:0019002]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; sulfinylpropanyl adenylate synthase [GO:0061483]; 'de novo' AMP biosynthetic process [GO:0044208]; cellular response to cadmium ion [GO:0071276]; fumarate metabolic process [GO:0006106]	'de novo' AMP biosynthetic process [GO:0044208]; cellular response to cadmium ion [GO:0071276]; fumarate metabolic process [GO:0006106]	cytoplasm [GO:0005737]	adenylosuccinate synthase activity [GO:0004019]; AMP binding [GO:0016208]; GMP binding [GO:0019002]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; sulfinylpropanyl adenylate synthase [GO:0061483]
Q6BXX6	reviewed	DNA replication complex GINS protein SLD5	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	245	DEHA2A14102g	SLD5	dha:DEHA2A14102g;	CMG complex [GO:0071162]; GINS complex [GO:0000811]; replication fork protection complex [GO:0031298]; chromosome segregation [GO:0007059]; DNA-dependent DNA replication [GO:0006261]; double-strand break repair via break-induced replication [GO:0000727]	chromosome segregation [GO:0007059]; DNA-dependent DNA replication [GO:0006261]; double-strand break repair via break-induced replication [GO:0000727]	CMG complex [GO:0071162]; GINS complex [GO:0000811]; replication fork protection complex [GO:0031298]	
Q6BVC2	reviewed	High osmolarity signaling protein SHO1 (Osmosensor SHO1)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	304	DEHA2C03806g	SHO1	dha:DEHA2C03806g;	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	
Q6BLZ2	reviewed	40S ribosomal protein S1-B	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	256	DEHA2F09614g	RPS1B	dha:DEHA2F09614g;	cytosolic small ribosomal subunit [GO:0022627]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	cytosolic small ribosomal subunit [GO:0022627]	structural constituent of ribosome [GO:0003735]
Q6BXX5	reviewed	Restriction of telomere capping protein 1	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	1386	DEHA2A14124g	RTC1	dha:DEHA2A14124g;	vacuole [GO:0005773]; metal ion binding [GO:0046872]; positive regulation of TOR signaling [GO:0032008]	positive regulation of TOR signaling [GO:0032008]	vacuole [GO:0005773]	metal ion binding [GO:0046872]
Q6BIH2	reviewed	Survival factor 1	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	376	DEHA2G10428g	SVF1	dha:DEHA2G10428g;	cytoplasm [GO:0005737]; nucleus [GO:0005634]; cellular response to oxidative stress [GO:0034599]	cellular response to oxidative stress [GO:0034599]	cytoplasm [GO:0005737]; nucleus [GO:0005634]	
Q6BNF3	reviewed	Serine/threonine-protein kinase STE20 (EC 2.7.11.1)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	1079	DEHA2E22220g	STE20	dha:DEHA2E22220g;	cytoplasm [GO:0005737]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; nucleus [GO:0005634]; ATP binding [GO:0005524]; enzyme binding [GO:0019899]; histone kinase activity (H2B-S14 specific) [GO:0044025]; MAP kinase kinase kinase kinase activity [GO:0008349]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; bipolar cellular bud site selection [GO:0007121]; budding cell apical bud growth [GO:0007118]; invasive growth in response to glucose limitation [GO:0001403]; negative regulation of gene expression [GO:0010629]; negative regulation of transcription by RNA polymerase II [GO:0000122]; osmosensory signaling pathway via Sho1 osmosensor [GO:0007232]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]; positive regulation of apoptotic process [GO:0043065]; pseudohyphal growth [GO:0007124]; regulation of exit from mitosis [GO:0007096]; signal transduction involved in filamentous growth [GO:0001402]; sterol import [GO:0035376]; stress granule assembly [GO:0034063]; vacuole inheritance [GO:0000011]	bipolar cellular bud site selection [GO:0007121]; budding cell apical bud growth [GO:0007118]; invasive growth in response to glucose limitation [GO:0001403]; negative regulation of gene expression [GO:0010629]; negative regulation of transcription by RNA polymerase II [GO:0000122]; osmosensory signaling pathway via Sho1 osmosensor [GO:0007232]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]; positive regulation of apoptotic process [GO:0043065]; pseudohyphal growth [GO:0007124]; regulation of exit from mitosis [GO:0007096]; signal transduction involved in filamentous growth [GO:0001402]; sterol import [GO:0035376]; stress granule assembly [GO:0034063]; vacuole inheritance [GO:0000011]	cytoplasm [GO:0005737]; incipient cellular bud site [GO:0000131]; mating projection tip [GO:0043332]; nucleus [GO:0005634]	ATP binding [GO:0005524]; enzyme binding [GO:0019899]; histone kinase activity (H2B-S14 specific) [GO:0044025]; MAP kinase kinase kinase kinase activity [GO:0008349]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]
Q6BXE5	reviewed	FACT complex subunit SPT16 (Facilitates chromatin transcription complex subunit SPT16)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	1033	DEHA2B03718g	SPT16	dha:DEHA2B03718g;	FACT complex [GO:0035101]; replication fork protection complex [GO:0031298]; histone binding [GO:0042393]; nucleosome binding [GO:0031491]; chromatin remodeling [GO:0006338]; DNA repair [GO:0006281]; DNA replication-independent nucleosome organization [GO:0034724]; DNA-dependent DNA replication [GO:0006261]; nucleosome assembly [GO:0006334]; positive regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0045899]; regulation of sister chromatid cohesion [GO:0007063]	chromatin remodeling [GO:0006338]; DNA-dependent DNA replication [GO:0006261]; DNA repair [GO:0006281]; DNA replication-independent nucleosome organization [GO:0034724]; nucleosome assembly [GO:0006334]; positive regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0045899]; regulation of sister chromatid cohesion [GO:0007063]	FACT complex [GO:0035101]; replication fork protection complex [GO:0031298]	histone binding [GO:0042393]; nucleosome binding [GO:0031491]
Q6BKD4	reviewed	tRNA(His) guanylyltransferase (EC 2.7.7.79) (tRNA-histidine guanylyltransferase)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	265	DEHA2F22880g	THG1	dha:DEHA2F22880g;	GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; tRNA guanylyltransferase activity [GO:0008193]; tRNA modification [GO:0006400]; tRNA processing [GO:0008033]	tRNA modification [GO:0006400]; tRNA processing [GO:0008033]		GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; tRNA guanylyltransferase activity [GO:0008193]
Q6BYJ1	reviewed	Regulator of rDNA transcription 14	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	195	DEHA2A09174g	RRT14	dha:DEHA2A09174g;	nucleolus [GO:0005730]		nucleolus [GO:0005730]	
Q6BPD6	reviewed	Microsomal signal peptidase subunit 3 (EC 3.4.-.-)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	190	DEHA2E14454g	SPC3	dha:DEHA2E14454g;	integral component of membrane [GO:0016021]; signal peptidase complex [GO:0005787]; peptidase activity [GO:0008233]; protein targeting to ER [GO:0045047]; signal peptide processing [GO:0006465]	protein targeting to ER [GO:0045047]; signal peptide processing [GO:0006465]	integral component of membrane [GO:0016021]; signal peptidase complex [GO:0005787]	peptidase activity [GO:0008233]
Q6BJ25	reviewed	Elongation factor 2 (EF-2)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	842	DEHA2G05742g	EFT1	dha:DEHA2G05742g;	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]		cytoplasm [GO:0005737]	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746]
Q6BXN1	reviewed	1,4-alpha-glucan-branching enzyme (EC 2.4.1.18) (Glycogen-branching enzyme)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	711	DEHA2B01672g	GLC3	dha:DEHA2B01672g;	1,4-alpha-glucan branching enzyme activity [GO:0003844]; 1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis) [GO:0102752]; cation binding [GO:0043169]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; glycogen biosynthetic process [GO:0005978]	glycogen biosynthetic process [GO:0005978]		1,4-alpha-glucan branching enzyme activity [GO:0003844]; 1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis) [GO:0102752]; cation binding [GO:0043169]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]
Q6BKW8	reviewed	Histone H2A.1	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	130	DEHA2F18282g	HTA1	dha:DEHA2F18282g;	nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; DNA repair [GO:0006281]	DNA repair [GO:0006281]	nucleosome [GO:0000786]; nucleus [GO:0005634]	DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]
Q6BI19	reviewed	Kynureninase (EC 3.7.1.3) (Biosynthesis of nicotinic acid protein 5) (L-kynurenine hydrolase)	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	460	DEHA2G14080g	BNA5	dha:DEHA2G14080g;	cytoplasm [GO:0005737]; 3-hydroxykynureninase activity [GO:0061981]; kynureninase activity [GO:0030429]; pyridoxal phosphate binding [GO:0030170]; 'de novo' NAD biosynthetic process from tryptophan [GO:0034354]; anthranilate metabolic process [GO:0043420]; L-kynurenine catabolic process [GO:0097053]; quinolinate biosynthetic process [GO:0019805]; tryptophan catabolic process [GO:0006569]	'de novo' NAD biosynthetic process from tryptophan [GO:0034354]; anthranilate metabolic process [GO:0043420]; L-kynurenine catabolic process [GO:0097053]; quinolinate biosynthetic process [GO:0019805]; tryptophan catabolic process [GO:0006569]	cytoplasm [GO:0005737]	3-hydroxykynureninase activity [GO:0061981]; kynureninase activity [GO:0030429]; pyridoxal phosphate binding [GO:0030170]
Q6BHX4	reviewed	Restriction of telomere capping protein 5	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	640	DEHA2G15092g	RTC5	dha:DEHA2G15092g;	cytoplasm [GO:0005737]		cytoplasm [GO:0005737]	
Q6BWF6	reviewed	SAGA-associated factor 11	Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968) (Yeast) (Torulaspora hansenii)	100	DEHA2B11726g	SGF11	dha:DEHA2B11726g;	DUBm complex [GO:0071819]; SAGA complex [GO:0000124]; transcription coactivator activity [GO:0003713]; zinc ion binding [GO:0008270]; histone deubiquitination [GO:0016578]	histone deubiquitination [GO:0016578]	DUBm complex [GO:0071819]; SAGA complex [GO:0000124]	transcription coactivator activity [GO:0003713]; zinc ion binding [GO:0008270]
