SGD_DB_ID	SYS_ID	ORG	GENE_SYM	NAME	DESCRIPTION	log2FoldChange	padj	log2FoldChange	padj	log2FoldChange	padj
S000002228	YDL070W	S. cerevisiae	BDF2	BromoDomain Factor	Protein involved in transcription initiation; acts at TATA-containing promoters; associates with the basal transcription factor TFIID; contains two bromodomains; corresponds to the C-terminal region of mammalian TAF1; redundant with Bdf1p; protein abundance increases in response to DNA replication stress; BDF2 has a paralog, BDF1, that arose from the whole genome duplication	-1.89053834968958	1.62367827881656e-56	-2.23196706604656	3.43724941124509e-79	-3.79232391347707	8.25437919205498e-218
S000002804	YDR396W	S. cerevisiae	""	""	Dubious open reading frame unlikely to encode a functional protein; extensively overlaps essential NCB2 gene encoding the beta subunit of the NC2 dimeric histone-fold complex	0.58055636386448	0.32595311375706	-1.00386956532998	0.0986610450041666	-3.10306069675958	0.000484849736248928
S000003204	YGL235W	S. cerevisiae	""	""	Putative protein of unknown function; potential Cdc28p substrate; null mutant displays increased resistance to antifungal agents gliotoxin, cycloheximide and H2O2	0.229143396717099	0.775496532828311	2.01652269655166	0.000654877335728114	-2.99567405806365	0.0138652035433993
S000003267	YGR035C	S. cerevisiae	""	""	Putative protein of unknown function, potential Cdc28p substrate; transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance; YGR035C has a paralog, YLR346C, that arose from the whole genome duplication	-0.698047192754853	0.000210895511431323	-1.80095369826655	3.9366049085506e-23	-3.30303038916572	7.78600434253061e-68
S000003311	YGR079W	S. cerevisiae	""	""	Protein of unknown function; YGR079W is not an essential gene	0.712821301567082	1.09070328468976e-16	0.133114663341421	0.13976352372277	-1.73121183435702	1.65975441793129e-85
S000003408	YGR176W	S. cerevisiae	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	-0.992164746588326	0.0914974551838094	-0.524231864592541	0.33424827402253	-2.54516980713367	0.000405286693882643
S000003935	YLL012W	S. cerevisiae	YEH1	Yeast steryl Ester Hydrolase	Steryl ester hydrolase; one of three gene products (Yeh1p, Yeh2p, Tgl1p) responsible for steryl ester hydrolase activity and involved in sterol homeostasis; localized to lipid particle membranes; YEH1 has a paralog, YEH2, that arose from the whole genome duplication	-0.486950835072786	1.12853879172152e-15	-0.579515771031873	1.54601101517567e-22	-1.6091984532049	1.19930656087228e-139
S000004064	YLR074C	S. cerevisiae	BUD20	BUD site selection	C2H2-type zinc finger protein required for ribosome assembly; shuttling factor which associates with pre-60S particles in the nucleus, accompanying them to the cytoplasm; cytoplasmic dissociation of Bud20p requires Drg1p; N-terminus harbors a nuclear localization signal (NLS) and a nuclear export signal (NES); cytoplasmic Bud20p is reimported by Kap123-dependent pathway; involved in bud-site selection; diploid mutants display a random budding pattern; similar to human ZNF593	-0.753845732206794	4.63052673849206e-18	-0.828724248627833	3.33818013899255e-22	-1.92782942351021	7.64504252970857e-109
S000004204	YLR214W	S. cerevisiae	FRE1	Ferric REductase	Ferric reductase and cupric reductase; reduces siderophore-bound iron and oxidized copper prior to uptake by transporters; expression induced by low copper and iron levels	1.04232525864042	2.81740975937784e-16	1.8315629246378	2.35814419369496e-49	-0.1005751935688	0.473305609411074
S000004358	YLR366W	S. cerevisiae	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF YLR364C-A	0.160162408383395	0.798396389829423	-0.436373753176888	0.442396370171567	-2.3233752625071	0.000753102621545526
S000004507	YML043C	S. cerevisiae	RRN11	Regulation of RNA polymerase I	Component of the core factor (CF) rDNA transcription factor complex; CF is required for transcription of 35S rRNA genes by RNA polymerase I and is composed of Rrn6p, Rrn7p, and Rrn11p	-0.0877638846519066	0.444776535847837	-0.464749273572506	3.64270587946243e-06	-1.57197325141469	1.52819806630208e-53
S000004662	YMR058W	S. cerevisiae	FET3	FErrous Transport	Ferro-O2-oxidoreductase; multicopper oxidase that oxidizes ferrous (Fe2+) to ferric iron (Fe3+) for subsequent cellular uptake by transmembrane permease Ftr1p; required for high-affinity iron uptake and involved in mediating resistance to copper ion toxicity, belongs to class of integral membrane multicopper oxidases; protein abundance increases in response to DNA replication stress	1.49683197537677	5.00690428650625e-13	1.65217533205404	4.64518503158974e-16	0.362598472098422	0.0903403861842907
S000004969	YNL024C	S. cerevisiae	EFM6	Elongation Factor Methyltransferase	Putative S-adenosylmethionine-dependent lysine methyltransferase; responsible for modifying Lys-390 in translational elongation factor EF-1 alpha (eEF1A); has seven beta-strand methyltransferase motif; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm	-1.73654179426365	9.49224381050938e-58	-2.73037128166384	1.127480661527e-130	-3.94146043178008	1.86440563798516e-196
S000005085	YNL141W	S. cerevisiae	AAH1	Adenine AminoHydrolase	Adenine deaminase (adenine aminohydrolase); converts adenine to hypoxanthine; involved in purine salvage; transcriptionally regulated by nutrient levels and growth phase; Aah1p degraded upon entry into quiescence via SCF and the proteasome	-0.955458943604899	1.75773047018092e-43	-1.41527811538618	1.09646180541257e-94	-2.69853179648863	0
S000005407	YOL047C	S. cerevisiae	LDS2	Lipid Droplets in Sporulation	Protein Involved in spore wall assembly; localizes to lipid droplets found on or outside of the prospore membrane; shares similarity with Lds1p and Rrt8p, and a strain mutant for all 3 genes exhibits reduced dityrosine fluorescence relative to the single mutants; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern	1.64787014811373	3.28781664181447e-17	2.13612229085499	4.0488466825129e-30	0.53741224542282	0.0116129350623661
S000005633	YOR107W	S. cerevisiae	RGS2	Regulator of heterotrimeric G protein Signaling	Negative regulator of glucose-induced cAMP signaling; directly activates the GTPase activity of the heterotrimeric G protein alpha subunit Gpa2p	-0.205374280760083	0.109145808377943	-0.546527548417828	3.83974099881602e-06	-1.87239560253555	1.92073221826047e-55
S000006051	YPL130W	S. cerevisiae	SPO19	SPOrulation	Meiosis-specific prospore protein; required to produce bending force necessary for proper assembly of the prospore membrane during sporulation; identified as a weak high-copy suppressor of the spo1-1 ts mutation; SPO19 has a paralog, YOR214C, that arose from the whole genome duplication	0.246243039468533	0.503591721673408	-0.920796547796154	0.00660038692991571	-3.06265624595671	3.66381176073192e-12
S000006086	YPL165C	S. cerevisiae	SET6	SET domain-containing	SET domain protein of unknown function; deletion heterozygote is sensitive to compounds that target ergosterol biosynthesis, may be involved in compound availability	-1.86996840506961	4.557907966249e-06	-2.42691853175402	6.53923603388465e-09	-4.20800238996991	3.76180488190253e-10
S000006282	YPR078C	S. cerevisiae	""	""	Putative protein of unknown function; possible role in DNA metabolism and/or in genome stability; expression is heat-inducible	-1.67368388657221	0.000523671528400417	-1.28901089480201	0.00339145005398809	-3.00906424080954	4.06603107950525e-07
S000007624	YNL162W-A	S. cerevisiae	""	""	Putative protein of unknown function; identified by homology	0.520065299628515	2.18170759788948e-06	0.329578523369312	0.00247186867759834	-0.965985058196586	9.60074746651744e-16
S000028524	YKL068W-A	S. cerevisiae	""	""	Putative protein of unknown function; identified by homology to <i>Ashbya gossypii</i>	-0.1810357611967	0.0196312914568276	0.198508579878718	0.007249276197184	-1.44021632538432	2.57100352131727e-81
S000028542	YDR246W-A	S. cerevisiae	""	""	Putative protein of unknown function; identified by fungal homology and RT-PCR	-0.738138743738709	0.00753683693896363	-0.791977552773327	0.00244884196887587	-2.11932393345465	1.18918946489367e-10
S000028550	YGR121W-A	S. cerevisiae	""	""	Putative protein of unknown function	-0.0642158415097288	0.930157738640148	-0.4008264730369	0.504063548974303	-1.9641405259702	0.0044258441180725
S000028605	YBR296C-A	S. cerevisiae	TYC1	Tiny Yeast Comet 1	Inhibitor of the Anaphase-Promoting Complex/Cyclosome (APC/C); binds to APC/C and inhibits the activity of both APC/C(Cdc20) and APC/C(Cdh1); inhibits the binding of Cdc20 and Cdh1 to APC/C; overexpression results in increased sensitivity to microtubule poison; originally identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching; functional homolog of human MAD2L1BP (p31comet) 	-1.61541585738544	0.182582762325432	-1.48473397998572	0.186264151468392	-4.99506221090436	0.00115489136913367
S000028635	YGL188C-A	S. cerevisiae	""	""	Putative protein of unknown function	2.3367156497594	5.38066446125118e-51	1.7601168997141	1.04159017553155e-29	0.669118480511472	4.48201485819519e-05
S000028679	YLR286W-A	S. cerevisiae	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene CTS1	-2.4572822597037	8.61365359647517e-09	-0.928360212587068	0.00590874855775793	-3.77073484307509	2.94501203088807e-11
S000028726	YPR160C-A	S. cerevisiae	""	""	Protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	-1.52278929916936	0.0213415588458585	-1.2616998198977	0.0397710914165535	-5.43857370238183	3.67913036707154e-05
S000028746	YER038W-A	S. cerevisiae	FMP49	Found in Mitochondrial Proteome	Mitochondrial protein of unknown function; almost completely overlaps ORF HVG1/YER039C	-0.927725564372876	0.118632188843924	-0.483243701914981	0.391156807388904	-2.5117652695609	0.000193202509738191
S000028771	YHL006W-A	S. cerevisiae	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps ORF STE20/YHL007C	0.325948314454167	0.55781440129539	1.13444992092557	0.0125682450278101	-1.03490422146237	0.0770036416739265
